gracintyAvyaktarUpAya	acintyAvyaktarUpAya
tandramaRakAlakzetrasya	tadBramaRakAlakzetrasya
hi	hi
DanarRatA	DanarRatA
yuktA	yuktA
salyam	satyam
tatsambanDi	tatsambanDi
kzetrasyEva	kzetrasyEva
hi	hi
DanarRatvaM	DanarRatvaM
yujyate	yujyate
tadarTaM	tadarTaM
punarapi	punarapi
trErASikadvayaM	trErASikadvayaM
kAryam	kAryam
tena	tena
SaNkunA	SaNkunA
kowiBUtena	kowiBUtena
karRarUpA	karRarUpA
vikzepakowimaॉqalagatA	vikzepakowimaRqalagatA
grahonmaRqalAntarALajyA	grahonmaRqalAntarAlajyA
praTamatrErASikenAnIyate	praTamatrErASikenAnIyate
tasyAH	tasyAH
punavEikzepakowimaRqalagatatvAn	punarvikzepakowimaRqalagatatvAt
tatkalAnAmalpatvAt	tatkalAnAmalpatvAt
tanmaRqalasyApi	tanmaRqalasyApi
KakalABivyA~sArDatulyatvAt	svakalABirvyAsArDatulyatvAt
tasyAH	tasyAH
kowimaRqalajIvAyA	kowimaRqalajIvAyA
vyAsArDavfttapariRamana	vyAsArDavfttapariRamanaM
dvitIyena	dvitIyena
tatrErva	tatrEvaM
praTamatrErASika	praTamatrErASikaM
yadi	yadi
dfkkzepakowayA	dfkkzepakowyA
vyAsADatulya	vyAsArDatulyaH
karRI	karRo
laByate	laByate
tadA	tadA
tacCaNkukowikasya	tacCaNkukowikasya
kriyAna	kiyAn
karRa	karRa
iti	iti
videkzapakowimaRqalagatA	vikzepakowimaRqalagatA
grahakzitijAntaragatA	grahakzitijAntaragatA
jyA	jyA
laByate	laByate
tasyAH	tasyAH
punavryAsArDavfttapariRamane$pi	punarvyAsArDavfttapariRamane$pi
vyAsArDaM	vyAsArDaM
guRakAraH	guRakAraH
vikzepakowirBAgahAraH	vikzepakowirBAgahAraH
Pala	PalaM
SrahaspfgrASikUwamaRqalasya	grahaspfzwarASikUwamaRqalasya
grahodaye$pakramamaRqalIyatpradeSarASikUwamaRqalasya	grahodaye$pakramamaRqalodyatpradeSarASikUwamaRqalasya
cAntarALajyA	cAntarAlajyA
tatastaccapIkftaM	tatastaccApIkftaM
grahasPude	grahasPuwe
saMskAryem	saMskAryam
evamiha	evamiha
trErguSizUcutuzwayaM	trErASikacatuzwayaM
vidyase	vidyate
tatra	tatra
pUrvayovryAsATE	pUrvayorvyAsArDaM
BAgahAraH	BAgahAraH
utta5yovyasArDemeva	uttarayorvyAsArDameva
guRakAraSca	guRakAraSca
tataScaturzu	tataScaturzu
tulyatvAnnazwezu	tulyatvAnnazwezu
sAyanagrahakowijyAyAH	sAyanagrahakowijyAyAH
kzepaparamAMpakramaGAtI	kzepaparamApakramaGAto
guRakAraH	guRakAraH
sAyanagrahakAlakowyapakramaKAhorAtrasya	sAyanagrahakAlakowyapakramasvAhorAtrasya
vikzepakowayASca	vikzepakowyASca
GAto	GAto
BAga6AraH	BAgahAraH
PalaM	PalaM
grahodayalagnagrahasPuwayorantarALajyA	grahodayalagnagrahasPuwayorantarAlajyA
grahodayakAlakowijyeha	grahodayakAlakowijyeha
grAhmetyatrAviSezaSca	grAhyetyatrAviSezaSca
kAryaH	kAryaH
anayEvopapattyA	anayEvopapattyA
sAkzadeSe$pi	sAkzadeSe$pi
darSanasaMskArayugaLaM	darSanasaMskArayugalaM
yugapatkartuM	yugapatkartuM
Sakyam	Sakyam
taccAha	taccAha
mADavaH	mADavaH
vikzepa^dfkkzepavaDe	vikzepadfkkzepavaDe
trimOvyoM	trimOrvyA
nihatya	nihatya
tatkowivaDana	tatkowivaDena
Bakte	Bakte
DanurDanarRa	DanurDanarRaM
haridEkyaBedAn	haridEkyaBedAt
tayoH	tayoH
SaSANkAdyudaye$nyaTAste	SaSANkAdyudaye$nyaTAste
a	1
kzepakoKa	kzepakoKa
goLapAda	ga
ቈኻ	Ga
iti	iti
atra	atra
dfkkzepAnayanasya	dfkkzepAnayanasya
pfTakftatvAt	pfTakkftatvAt
trErASikatrayamevAvaSizwam	trErASikatrayamevAvaSizwam
tacEvaM	taccEvaM
yadi	yadi
trijyAtulyayA	trijyAtulyayA
vikzepajyayA	vikzepajyayA
dfkkzepajyAtulyA	dfkkzepajyAtulyA
BujA	BujA
laByate	laByate
tadezwavikzepajyayA	tadezwavikzepajyayA
kiyatIti	kiyatIti
praTamam	praTamam
sA	sA
puna	punaH
dvitIyatrErASike	dvitIyatrErASike
kowiH	kowiH
tayede	tayedaM
trErASikaM	trErASikaM
yadi	yadi
dfkkzepakowyA	dfkkzepakowyA
trijyAtulyaH	trijyAtulyaH
karRaH	karRaH
tadAsyAH	tadAsyAH
kiyAniti	kiyAniti
dvitIyam	dvitIyam
tasya	tasya
vyAsArDapariRAmane	vyAsArDapariRamane
punaridaMvikzepakowitulyAyAM	punaridaMvikzepakowitulyAyAM
tajjIvAyAM	tajjIvAyAM
trijyAtulyA	trijyAtulyA
svavfttasvaKazaqGanAMSajyA	svavfttaKaKazaqGanAMSajyA
laByate	laByate
tadAsyA	tadAsyA
vikzepakowimaRqalagatAyAH	vikzepakowimaRqalagatAyAH
kiyatIti	kiyatIti
tatra	tatra
pUrvatrErASika	pUrvatrErASike
vikzepasya	vikzepasya
ikkzepo	dfkkzepo
guRakAra	guRakAraH
vyAsArDa	vyAsArTaM
BAgahAraH	BAgahAraH
dvitIye	dvitIye
vyAsArDa	vyAsArDaM
guRakAraH	guRakAraH
dfkkzepakowirBAgahAraH	dfkkzepakowirBAgahAraH
tftIye	tftIye
tu	tu
vyAsArDameva	vyAsArDameva
guRakAraH	guRakAraH
vikzepakowirBAgahAra	vikzepakowirBAgahAraH
tatra	tatra
trijyayA	trijyayA
sakfdDaraRa	sakfdDaraRaM
kArya	kAryaM
dviguRana	dvirguRanaM
ca	ca
tataH	tataH
sakfdeva	sakfdeva
guRanaM	guRanaM
kAryam	kAryam
ekenEva	ekenEva
guRanAddaraRayoH	guRanaharaRayoH
kftayorakftayoSca	kftayorakftayoSca
Palasya	Palasya
tulyatvAt	tulyatvAt
tasmAd	tasmAd
vikzepasya	vikzepasya
ikkzepatrijye	dfkkzepatrijye
guRakArO	guRakArO
vikzepikkzepakowiGAtaSva	vikzepaddakkzepakowiGAtaSca
BAgahAraH	BAgahAraH
ata	ata
uktam	uktam
vikzepikkzepahate	vikzepadfkkzepahate
trimOvryA	trimOrvyA
nihitya	nihatya
tatkoWeivaDena	tatkowivaDena
Bate	Bakte
iti	iti
atra	atra
yacCabdatacCabdAvaDyAhfAryO	yacCabdatacCabdAvaDyAhAryO
yacCabDaM	yallabDaM
tasya	tasya
Danuriti	Danuriti
SaSANkadyudaye	SaSANkAdyudaye
tayokzeipadfkkzepayoH	tayorvikzepadfkkzepayoH
haridEkyaBedAdDanarRam	haridEkyaBedAdDanarRam
anyaTA	anyaTA
cAste	cAste
hariJede	haridBede
Danam	Danam
fRamEkye	fRamEkye
udaya	udaya
asta	asta
ityetAByAM	ityetAByAM
udayakAlajo$stakAlajaSva	udayakAlajo$stakAlajaSca
vikzepadfkkzepAviha	vikzepadfkkzepAviha
grAhmAviti	grAhyAviti
sidDam	sidDam
tata	tata
evAviSezakaraRamapi	evAviSezakaraRamapi
sidDam	sidDam
grahodayalaJe	grahodayalagne
nimirtta	nimittaM
dfkkzapAnaBarna	dfkkzepAnayanaM
dfkkzaparnimitta	dfkkzepanimittaM
ca	ca
grahodayalAnayanamilyanyonyASrayatvAt	grahodayalagnAnayanamityanyonyASrayatvAt
tatparihArAyEva	tatparihArAyEva
ddi	hi
sarvatrAviSezaH	sarvatrAviSezaH
kriyate	kriyate
mAnase$pi	mAnase$pi
darSanasaMskArayugaLaM	darSanasaMskArayugalaM
yugapatat	yugapat
kriyate	kriyate
vikzepo	vikzepo
BinnatulyAMSavalanaDnaH	BinnatulyAMSavalanaGnaH
KaKANkakEH	KaKANkakEH
hftoM$SAstEryutonaH	hftoM$SAstEryutonaH
san	san
graho$kastAntarestagaH	graho$rkAstAntare$stagaH
iti	iti
calanaDnAdvikzepAnnavaSatahUrta	valanaGnAdvikzepAnnavaSatahftaM
yat	yat
tardaSAdi	tadaMSAdi
valanavikzepayorBinnadikayo	valanavikzepayorBinnadikkayo
1•	1
kAryam	kAryam
ekenEvaKa	ekenEvaKa
ga•	ga
Ta	Ga
ba	Na
rgrahe	rgrahe
yojyaM	yojyaM
tulyadikayoH	tulyadikkayoH
Socyam	SodDyam
evaM	evaM
dfkarmasaMskftaH	dfkarmasaMskftaH
san	san
grEho	graho
yadAkastadvayAntarALagastadAstaNgataH	yadArkAstadvayAntarAlagastadAstaNgataH
yadA	yadA
tadvahirgatastadA	tadbahirgatastadA
dfSyaH	dfsyaH
astArkadvayamapyuktaM^sUryAzwiviSvarudrAzrwatiTyaMSaGnEH	astArkadvayamapyuktaMsUryAzwiviSvarudrAzwatiTyaMSaGnEH
KaKAmiBiH	KaKAgniBiH
prAgBodayAsEryuktonaH	prAgBodayAptEryuktonaH
sUryo$stArkaH	sUryo$stArkaH
SaSANkataH	SaSANkataH
iti	iti
candrAdInAM	candrAdInAM
sUryAdiBirguRitAH	sUryAdiBirguRitAH
KaKAgrayaH	KaKagrAyaH
pfTak	pfTak
pfTak	pfTak
prAgBodayavinAqIBiH	prAgBodayavinAqIBiH
sUryagrahAkrAntarASyudayavinAqIBirAptamaMSAdikamakacCoDayet	sUryagrahAkrAntarASyudayavinAqIBirAptamaMSAdikamarkAcCoDayet
tadeko$stArkaH	tadeko$stArkaH
pfTaksTAt	pfTaksTAt
tatsaptamarASyudayavinAqayAptamarke	tatsaptamarASyudayavinAqyAptamarke
kzipet	kzipet
sa	sa
itaro$stArkaH	itaro$stArkaH
kuto	kuto
valanavikzepaGAtAt	valanavikzepaGAtAt
KaKANkAptamaMSAdi	KaKANkAptamaMSAdi
dfkarmaPalaM	dfkkarmaPalaM
syAt	syAt
tadDi	tadDi
valanaM	valanaM
nAmE	nAma
grahasya	grahasya
muKapucCayoH	muKapucCayoH
pArSvayorvA	pArSvayorvA
yattiryaggamanam	yattiryaggamanam
apakramamaRqalagataGanamaDyasya	apakramamaRqalagataGanamaDyasya
ahabimbasyaM	grahavimbasya
prAkpratIcyoryatrApakramamaRqalaM	prAkpratIcyoyatrApakramamaRqalaM
bimbamudBidya	bimbamudBidya
viniHsarati	viniHsarati
tayormuKatvaM	tayormuKatvaM
pucCatvaM	pucCatvaM
ca	ca
tatra	tatra
muKavalarna	muKavalanaM
sOmyaM	sOmyaM
cet	cet
pucCavalarna	pucCavalanaM
yAmyam	yAmyam
tadodakpArSvamunnatam	tadodakpArSvamunnatam
avanataM	avanataM
ca	ca
dakziRapArSvam	dakziRapArSvam
tatra	tatra
bimbasyaDvaBAgasya	bimbasyorDvaBAgasya
dfkkzepAdiSi	dfkkzepadiSi
valanaM	valanaM
tadviparItadiSi	tadviparItadiSi
cADoBAgasyeti	cADoBAgasyeti
niyamaH	niyamaH
grahasya	grahasya
muKapucCayoryAvadvalarna	muKapucCayoryAvadvalanaM
tAvadeva	tAvadeva
pArSvayorapi	pArSvayorapi
vikzepaSca	vikzepaSca
taddiganusArI	taddiganusArI
mAnasottaM	mAnasoktaM
ca	ca
valanaM	valanaM
radamaRqalagatameva	radamaRqalagatameva
ato	ato
vyAsArDatvena	vyAsArDatvena
zoqaSakaM	zoqaSakaM
gfhItam	gfhItam
valanAhulaM	valanANkulaM
ca	ca
ikkzepatayA	dfkkzepatayA
trijyAvikzepakowayoralpAntaratvAdupekzirta	trijyAvikzepakowyoralpAntaratvAdupekzitaM
ca	ca
tatsADarna	tatsADanaM
trErASikam	trErASikam
ato	ato
vikzepasya	vikzepasya
valanaguRana	valanaguRanaM
valanazoqaSaMkavagAntaramUlena	valanazoqaSakavargAntaramUlena
iraRaM	haraRaM
ceha	ceha
kAryam	kAryam
tataH	tataH
kowisAmIpyAya	kowisAmIpyAya
paYcadaSasaNKayo	paYcadaSasaNKyo
hAro	hAro
gfhItaH	gfhItaH
PalasyAMSakatvAya	PalasyAMSakatvAya
zazwfyA	zazwyA
guRitaSca	guRitaSca
tataH	tataH
KaKANkasaNKyo	KaKANkasaNKyo
hAraH	hAraH
PalamaMSAdikam	PalamaMSAdikam
atra	atra
valanayoH	valanayoH
syOlyAt	sTOlyAt
tadvedEkyAtmakapAramArTikavalanasyApi	tadBedEkyAtmakapAramArTikavalanasyApi
syOlyAdeva	sTOlyAdeva
dfkPalasyApi	dfkPalasyApi
sTIlyam	sTOlyam
taTApi	taTApi
DImatf	DImatAM
sPuredeva	sPuredeva
yuktiH	yuktiH
atra	atra
mAnasavalanasya	mAnasavalanasya
prAkapAle	prAkkapAle
dfkkzepaviparItadikatvAta	dfkkzepaviparItadikkatvAt
Wapada	SAMSakaKa
ቈዔ	Ga
pratyakapAle	pratyakkapAle
samAnadikatvAca	samAnadikkatvAcca
DanagEsAmyamapi	DanarRasAmyamapi
syAt	syAt
yutimaDyanatAByastA	yutimaDyanatAByastA
palaBA	palaBA
BAnuBAjitA	BAnuBAjitA
prAgudagdakziRa	prAgudagdakziRaM
paScAdvalana	paScAdvalanaM
radamaRqale	radamaRqale
graheRAyanayoralpamantaraM	graheRAyanayoralpamantaraM
dviDnamAyanam	dviGnamAyanam
valarna	valanaM
syAn	syAt
tayoryogaviSlezAt	tayoryogaviSlezAt
pAramArTikam	pAramArTikam
iti	iti
hi	hi
valanAnayanamuktam	valanAnayanamuktam
vyAsArDamaRqalagatAyanavalanasya	vyAsArDamaRqalagatAyanavalanasya
kowaTapakamasAmyAdAyanasya	kowyapakramasAmyAdAyanasya
cAkzasAmyAt	cAkzasAmyAt
tadyogasya	tadyogasya
viSlezasya	viSlezasya
vA	vA
prAyeRa	prAyeRa
ikkzepasAmyAca	dfkkzepasAmyAcca
tadupapadyate	tadupapadyate
evaM	evaM
kftadarSanasaMskArayugale	kftadarSanasaMskArayugale
grahe	grahe
lagrAdaDike	lagnAdaDike
graho	graho
na	na
dfSyaH	dfSyaH
astalagnAdne	astalagnAdUne
ca	ca
astalagnAdUrDvamudayalagnAdaGaSca	astalagnAdUrDvamudayalagnAdaDaSca
graho	graho
dfSyArDagatatvAd	dfSyArDagatatvAd
dfSya	dfSya
eva	eva
36	36
yadarTamiha	yadarTamiha
dfSyAdfSyatvamuktaM	dfSyAdfSyatvamuktaM
tadeva	tadeva
grahaRaM	grahaRaM
pradarSayati	pradarSayati
tatra	tatra
dvayorgrahaRayoSaCAdyaCAdakaBAvopapattipradarSanapuraHsaraM	dvayorgrahaRayoSCAdyaCAdakaBAvopapattipradarSanapuraHsaraM
grahaRayorviSezaM	grahaRayorviSezaM
pradarSayati^candro	pradarSayaticandro
jalamarko$JirmuqUcCAyApi	jalamarko$gnirmfdBUcCAyApi
yA	yA
tamastaqi	tamastadDi
CAdayati	CAdayati
SaSI	SaSI
sUrya	sUryaM
SaSinaM	SaSinaM
mahatI	mahatI
ca	ca
BUcCAyA37	BUcCAyA^37
iti	iti
candrabimbasya	candrabimbasya
jalaBayatvAdarkabimbasya	jalamayatvAdarkabimbasya
ca	ca
tejoDAtutvAt	tejoDAtutvAt
tadvimbe	tadbimbe
tattejaHsaMparkAdeva	tattejaHsaMparkAdeva
tasya	tasya
prakASamAnatvAtU	prakASamAnatvAt
BUcCAyAyASvandaM	BUcCAyAyAScandraM
prati	prati
grAhakatvamupapadyate	grAhakatvamupapadyate
yatra	yatra
BUmyA	BUmyA
tirohitatvAta	tirohitatvAt
sUryabimbasya	sUryabimbasya
kaScidaMSo$pi	kaScidaMSo$pi
na	na
dfSyate	dfSyate
tadBAga	tadBAga
evAntarikze	evAntarikze
tadraSmirAhityAdU	tadraSmirAhityAd
BUcCAyetyucyate	BUcCAyetyucyate
iti	iti
taddaSa	taddeSaM
pravizwasya	pravizwasya
candrasyApi	candrasyApi
tadraSmisampakaBAvAd	tadraSmisamparkABAvAd
dIptayiBAva	dIptyaBAva
eva	eva
grahaRam	grahaRam
prasidDaM	prasidDaM
cEtacCAstrAntaretejasAM	cEtacCAsrAntare^tejasAM
goLakaH	golakaH
sUryo	sUryo
grahfkzaRyambugoLakAH	graharkzARyambugolakAH
praBAvanto	praBAvanto
hi	hi
dfSyante	dfSyante
sUryaraSmividIpitAH	sUryaraSmividIpitAH
iti	iti
candrasya	candrasya
sUryAdaDogatatvAjjalAMSaprAcurye$pi	sUryAdaDogatatvAjjalAMSaprAcurye$pi
sUrye	sUryaM
prati	prati
CAdakatvamapi	CAdakatvamapi
yujyate	yujyate
tarhi	tarhi
sitasyApi	sitasyApi
kAlakriyApAdasamudDAMwitayuktyA	kAlakriyApAdasamudDAwitayuktyA
cakrasanTe^96^AryazwIye	vakrasamaye
sUryAdaDogatatvAt	sUryAdaDogatatvAt
tatsaMyoge	tatsaMyoge
vikzepABAve	vikzepABAve
kadAcit	kadAcit
sUryaCAdakatvaM	sUryaCAdakatvaM
kuto	kuto
na	na
syAt	syAt
sPawikavata	sPawikavat
svacCatvAt	svacCatvAt
tadvimbasyeti	tadbimbasyeti
bUmaH	brUmaH
candrasya	candrasya
jalaprAcuryaspi	jalaprAcurye$pi
paYcIkaraRa^BAGApekzitAnmfdaMSasyADikyAcCAdakatvaM	paYcIkaraRamAtrApekzitAnmfdaMSasyADikyAcCAdakatvaM
yujyate	yujyate
mfdBUtyatrApi	mfdBUrityaSapi
mftprAcuryaBeva	mftprAcuryameva
Bruvo	Buvo
vivakzitaM	vivakzitaM
mfjjalaSiKivAyumaya	mfjjalaSiKivAyumaya
iti	iti
pAYcaBOtikatvokte	pAYcaBOtikatvokteH
erva	evaM
candro	candro
jalamilyAdAvapi	jalamityAdAvapi
jalaprAcuryameva	jalaprAcuryameva
vivakzitam	vivakzitam
CAyAyAstamastvaM	CAyAyAstamastvaM
loke	loke
prasidDameveti	prasidDameveti
hiSabdena	hiSabdena
dyotitam	dyotitam
ata	ata
etadyujyate	etadyujyate
CAdayati	CAdayati
SaSI	SaSI
sUrya	sUryaM
SaSinaM	SaSinaM
mahatI	mahatI
ca	ca
BUcCAyA	BUcCAyA
iti	iti
BUcCAyAyASCAdikAyASCAdyAcCaSinI	BUcCAyAyASCAdikAyASCAdyAcCaSino
mahatvAdeva	mahattvAdeva
KaRqagrahaRe	KaRqagrahaRe
dfSyaBAgasya	dfSyaBAgasya
kuRWavizARatvamapi	kuRqavizARatvamapi
sUryagrahmaRe	sUryagrahaRe
tu	tu
prAyeRoBayoH	prAyeRoBayoH
sAmyAdeva	sAmyAdeva
tIkzRavizARatvaM	tIkzRavizARatvaM
ceti	ceti
yA	ya
uBayograॅhaRayoH	uBayorgrahaRayoH
viSezaH	viSezaH
sa	sa
mahacCabdena	mahacCabdena
dyotyate	dyotyate
37	37
tatra	tatra
rAveBUcCAyayorveikzepABAvAt	raviBUcCAyayorvikzepABAvAt
candrasyApi	candrasyApi
vikzepABAve$lpatva	vikzepABAve$lpatva
eva	eva
vA	vA
grahaRasamBavaH	grahaRasamBavaH
evaM	evaM
parvapAtApekzaTA	parvapAtApekzayA
grahaRayoH	grahaRayoH
kAdAcitkatvam	kAdAcitkatvam
tatrApi	tatrApi
BUcCAyAyA	BUcCAyAyA
mahattvAt	mahattvAt
candragrahaRasya	candragrahaRasya
lambanana	lambanena
viSezABAvAt	viSezABAvAt
kAcitkatvABAvAca	kvAcitkatvABAvAcca
tadgrahfRAnei	tadgrahaRAni
BUyAMsi	BUyAMsi
syuH	syuH
viralAni	viralAni
ca	ca
BAsvadgrahaRAni	BAsvadgrahaRAni
yuge	yuge
ityAhasPuwaSaSimAsAnte$rka	ityAhasPuwaSaSimAsAnte$rkaM
pAtAsanno	pAtAsanno
yadA	yadA
praviSatInduH	praviSatInduH
BUcCAyAM	BUcCAyAM
pakzAnte	pakzAnte
tadADikonaM	tadADikonaM
grahaRamaDyam	grahaRamaDyam
38	38
itei	iti
im	induH
pAtARSaH	pAtAsannaH
sPuwaSaSiBAsAnte	sPuwaSaSimAsAnte
yadAprka	yadArkaM
praviSatei	praviSati
yadA	yadA
sa	sa
eva	eva
pakzAnte	pakzAnte
wracCAryAM	BUcCAyAM
maviSati	praviSati
tadA	tadA
sUryAcandramasograॅhaRamaDyam	sUryAcandramasorgrahaRamaDyam
aDikonaM	aDikonaM
tata	tata
UrDvamaDaSca	UrDvamaDaSca
calati	calati
grAhmRamaDyam	grahaRamaDyam
sUryasya	sUryasya
lambana^•^vaSAccaLanaM	lambanavaSAccalanaM
vikzepavaSAdandrasyaH	vikzepavaSAccandrasya
lambasya	lambanasya
kzitijAnte	kzitijAnte
nAqikAcatuzkAntaM	nAqikAcatuzkAntaM
dfQerdinAdyAntyayAmayoH	vfdDerdinAdyAntyayAmayoH
pavERi	parvaRi
sUryagra6RamaDyaM	sUryagrahaRamaDyaM
rAtrAvecApi	rAtrAvevApi
syAta	syAt
1	1
kalpABAvAtU	kalpABAvAtga^Na^CAdakasyAtidUragatvAt
ga•	candragrahaRamaDyasya
•	pakzAntAccalanam
t	tadapi
maDyasUtrasya	maDyasUtrasya
dEDrya	dErGyaM
laByate	laByate
aTavA	aTavA
BUvyAsArDameiha	BUvyAsArDamiha
SaNkuH	SaNkuH
BUravi^vivaraM	BUravivivaraM
SaNkUBujAvivaraM	SaNkuBujAvivaraM
ravibimbavyAsArDe	ravibimbavyAsArDaM
BujA	BujA
tatra	tatra
SaNkuguRamityAdinA	SaNkuguRamityAdinA
iha	iha
CAyAdEDryamAnIyate	CAyAdErGyamAnIyate
kintu	kintu
dviguRAByAmiha	dviguRAByAmiha
karma	karma
kriyate	kriyate
BUvyAsasya	BUvyAsasya
raviBUviSezasya	raviBUviSezasya
cADakaraRABAve	cArGIkaraRABAve
lAGarva	lAGavaM
syAditi	syAditi
nanu	nanu
karTa	kaTaM
BUgolavizkamBAdityuktam	BUgolavizkamBAdityuktam
ravivimbAd	ravibimbAd
BUbimbasyAlpatvAd	BUbimbasyAlpatvAd
dIpyamAnapradeSasyArDArdEDikyAt	dIpyamAnapradeSasyArDAdADikyAt
BUCAyABAgasya	BUCAyABAgasya
nyUnatvAYca	nyUnatvAcca
BUvizkamBAgrAd	BUvizkamBAgrAd
BUcCAyABAge	BUcCAyABAge
kiyacicApaM	kiyacciccApaM
viddapEva	vihAyEva
ravirBapariDigaM	raviBUpariDigaM
sUtraM	sUtraM
spfSati	spfSati
lambasUtrAdyAvan	lambasUtrAdyAvat
karRamUtrasya	karRasUtrasya
tiryaktvE	tiryaktvaM
vizPamBAgracApAd	vizkamBAgracApAd
etatspfzwasya	etatspfzwasya
cApasTApi	cApasyApi
tAvatA	tAvatA
tiryaktvena	tiryaktvena
BAvyam	BAvyam
satyas	satyam
BUvyAsADEM	BUvyAsArDaM
raviBUviSezArDana	raviBaviSezArDena
hatvA	hatvA
ravisPuwayojanakarRataqimbaviSezArTavagEyogapadena	ravisPuwayojanakarRatadvimbaviSezArDavargayogapadena
hutvA	hftvA
yadAsaM	yadAptaM
tAvatyA	tAvatyA
arDajyAyA	arDajyAyA
agra	agra
eva	eva
BUgoLavizkamBAta	BUgolavizkamBAt
spfSati	spfSati
tatastacCaraM	tatastacCaraM
dvigurRaM	dviguRaM
BUvrAsArDAd	BUvyAsArDAd
viSoDya	viSoDya
SizWena	Sizwena
tulyaM	tulyaM
mUtrayorBUpariDispfgvivaram	sUtrayorBUpariDispf^gvivaram
tenapi	tenApi
na	na
PUlaDa^da	PalaBedaH
sUryavyAsADIdasyeyamAnIta	sUryavyAsArDAdapyeyamAnItaM
yat	yat
Pale	PalaM
tyU	tad
vizkamBada5i	vizkamBAdapi
tA	tAda
evEtaH	evEtad
sUtraM	sUtraM
spfSati	spfSati
tasmAd	tasmAd
icCApramARayorekarUpeREva	icCApramARayorekarUpeREva
hr1	ddvAAAATBa
59udaH	PalaBedaH
tasyA	tasyA
BUcCAyAyA	BUcCAyAyA
avaDereva	avaDereva
BedaH	BedaH
na	na
BUvizkaBare	BUvizkagBAt
pratiBa6	pravfttamidaM
aya66	CAyAdErGyam
atrAnItArTajyAntarAt^praBftye	atrAnItArDajyAntarAtpraBftyeva
tasmAt	tasmAt
sADaM^jyA	sArDajyA
BU^sArTedaMDyaM	BUvyAsArDadErGyaM
kzepyA	kzepyA
tatastasmAt	tatastasmAt
CAyAdaDyAt	CAyAdErGyAt
candraskuwayojanI	candrasPuwayojanakarRaM
viSADya	viSoDya
SizwI	SizwaM
CAyAgracandravivaram	CAyAgracandravivaram
tadeva	tadeva
BUre^vizkzsBeRa	BUvizamBeRa
samaByamya	samaByasya
BUwAyayA	ButratpayA
viBarra	viBaktaM
tamasaH	tamasaH
KavizkzamJe	svavizkamBo
Bavet	Bavet
DDDSDSBtuS	candrakakzyApra
t	9
D	da
BBSS	ta
D	sokamBa
SD	di
S	vAra
DD	atrApi
DDDDDDS	pUrvalabDajyASaradva5AnapegMba
દૂષોનેવિ	vizkaBeRa
વિારા	guRanaM
મેળ	kAryam
ગુપર્ન	kevalayEva
BfcCAgryU	BUcCAyayA
6raRaSca	haraRaSca
DD	na
DDDEDDDgBSS	punastadarDajyAyuktayA
DDDDBDD	yuktipraTanArTamevAyaM
DDES	viSezaH
DDBDSS	pradarSitaH
S	na
punararya	punarayaM
viSepI	viSezo
graha^meM	grahaRe
pratyakzata	pratyakzata
upalaByaH	upalaByaH
SAKezu	SAstrezu
nAnocyamAnabimbapariMmARaBerdAjjAyamAno	nAnocyamAnabimbaparimARaBedAjjAyamAno
Beda	Beda
ito$pi	ito$pi
sumahAn	sumahAn
tasmAd	tasmAd
yukti	yukti
1	1
arDADikyAtKa	arDADikyAtKa
ga	ga
Ca	Na
1•	2
virBuka	virBUka
3•	3
dAta^jAKa0	dAtjAKa
Ca	Na
nirUpaRadaSAyAmeveyaM	nirUpaRadaSAyAmeveyaM
kaTA	kaTA
na	na
punavryavArakALe	punarvyavahArakAle
IdfSamalpazPalaM	IdfSamalpaPalaM
karma	karma
tatra	tatra
tatra	tatra
tantrakArErapradarSitaM	tantrakArErapradarSitaM
yuktividBirupalaByam	yuktividBirUpalaByam
spi	asyApi
liptA^vyAsAnayanaM	liptAvyAsAnayanaM
candravadeva	candravadeva
3540	39^40
aTa	aTa
CAdyacCAdakamAnAmyAM	CAdyacCAdakamAnAByAM
tadvivareRa	tadvivareRa
va	ca
sTi9Dana''naM	sTiddfrDAnagagaM
pradaSyeMte^tEcCaSisampakarDakfta	pradarSyatetacCaSisamparkArDakfteH
SaSivikzepavarmitamapohya	SaSivikzepavargitamapohya
sTilyarDaM	sTityarDaM
tanmUlaM	tanmUlaM
jYeyaM	jYeyaM
candrArkadinaBogAd	candrArkadinaBogAd
41	41
iti	iti
tacCaSisampakarDasya	tacCaSisamparkArDasya
liptAtmakasya	liptAtmakasya
kfte	kfteH
SaSivikzepavargeitamapohya	SaSivikzepavargitamapohya
yacCizwaM	yacCizwaM
tanmUlaM	tanmUlaM
sTityarDa	sTityarTaM
jYeyam	jYeyam
tat	tat
syityarDakzetram	sTityarDakzetram
tasya	tasya
kAlaH	kAlaH
punaScandrArkadinaBogAByAM	punaScandrArkadinaBogAByAM
jYeyaH	jYeyaH
atredaM	atredaM
trErASikaM	trErASikaM
yadi	yadi
dinagatyantaMreRa	dinagatyantareRa
zazwinaqiyo	zazwirnAqyo
laByante	laByante
tadAnena	tadAnena
sTityarDakzetreRa	sTityarDakzetreRa
kiyatya	kiyatya
iti	iti
sparSamokzasTityarDayoH	sparSamokzasTityarDayoH
svasvakAlaSaSivikzepa	svasvakAlaSaSivikzepa
eva	eva
SrfMgIMkftya	vargIkftya
saBpakarDavargAcCoDyaH	samparkArDavargAcCoDyaH
etacezwukAlagrAsena	etaccezwakAlagrAsena
vakzyamARenEva	vakzyamARenEva
sidDam	sidDam
41	41
aTa	aTa
