sUlamiti	mUlamiti
varttate	varttate
mayA	mayA
cEtanmUlaprastakAlliKitantadanusAraRa	cEtanmUlapustakAlliKitantadanusAreRa
SrIkANkasaMKyA	SlokANkasaMKyA
pUrRA	pUrRA
SrAdagEpalaka^maMKyAto$rDADika	AdarSapustakasaMKyAto$rDADikA
jAteti	jAteti
bIDyam	boDyam
1	1
Sratra	atra
mU	mU
pustake$pi	pustake$pi
SravaRaM	SravaRaM
tvinagrA	tvinAgrA
iti	iti
pAWa	pAWaH
2	2
Srava	atra
prA	A
pustake	pastake
PalacCalyAhate	PalacCAyAvftte
iti	iti
vartate	varttate
3	3
te	te
yaqudfSa	SaNkudfSye
palaBAgBave	palaBAgBave
tu	tu
iti	iti
mU	mU
pAWa	pAWaH
vizuvatkarRite	vizuvatkarRahfte
vA	vA
guqucCAyAhate	SaNkucCAyAhate
pfyak	pfTak
ci$ye	trijye
acajyetarajOvelambAcAMSotkramajyIne	akzajyetarajIve^lambAkzAMSotkramajyone
1	1
222	222
sidDAntaSeKare	sidDAntaSeKare
ayamarTaH	ayamarTaH
naraH	naraH
dvAdaSANgulaSaNkuH	dvAdaSANgulaSaNkuH
praBA	praBA
izwacCAyA	izwacCAyA
vizuvacCAyA	vizuvacCAyA
ca	ca
KakarRenetyatra	svakarRenetyatra
KaSabdenezwacCAyA	svaSabdenezwacacaCAyA
vizuvacCAyA	vizuvacCAyA
ca	ca
gwahyate	gfhyate
dfzwacCAyAddAQaSakavargayogamUlamizwakaRe	izwacCAyAdvAdaSakavargayogamUlamizwakarRaH
vizuvacCAyAddAdaSvargayogaBUlaM	vizuvacCAyAdvAdaSavargayogamUlaM
vizuvalkREstena	vizuvatkarRastena
hftaM	hfte
trijOve	trijIve
syAtAm	syAtAm
tatra	tatra
ye	ye
Pale	Pale
SaNkumahAcCAye	SaNkumahAcCAye
BavataH	BavataH
taM	te
eva	eva
Pale	Pale
yadi	yadi
vizuvadBINgava	vizuvadBodBave
tacei	tarhi
svadeSaM	svadeSe
lasbActjIva	lambAkzajIve
Bavata	Bavata
iti	iti
Srara	ayaM
prayogaHizwacCaMॉyayA	prayogaH^izwacCAyayA
trijyAM	trijyA
hatvA	hatvA
izwakarRena	izwakarRena
iret	haret
PalaM	Pala
maDyacCAyA	maDyacCAyA
taTA	taTA
dvAdaSakena	dvAdaSakena
SaNkunA	SaNkunA
trijyAM	trijyAM
qatvA	hatvA
dfzwakarRena	izwakarRena
irEt	haret
PalaM	PalaM
maNGASaNka	mahASaNkuH
taTA	taTA
KadeSavizuvacCuklAyayA	svadeSavizuvacCAyayA
trijya	trijyAM
itvA	hatvA
KavizuvatkarRana	svavizuvatkarRena
haret	haret
PalaM	PalaM
SractajyA	akzajyA
KadeSa^jI	svadeSajA
taTA	taTA
ddAdaSaguRAM	dvAdaSaguRAM
triKyAM	trijyAM
KadeSavizuvatkarRena	svadeSavizuvatkarRena
haret	haret
PalaM	PalaM
KadeSalamvaka	svadeSalambaka
ityatra	ityatra
vAsanA	vAsanA
gaRitavilAse	gaRitavilAse
drazwavyA	drazwavyA
7	7
SraDunA	aDunA
lambActrajyAnayane	lambAkzajyAnayane
upAyadvayamindravajrayAha	upAyadvayamindravajramAha
taccA1pahOnacigfhakramajyA	taccA1^pahInatrigfhakramajyA
yaddetarA	yadvetarA
lamba2palajyayo	lamba^2^palajjayayoH
syAt	syAt
lambActaBAgotkramaSiYjinI	lambAkzaBAgotkramaSiYjinI
yA	yA
tayeA	tayo
trimOrvo	trimOrvI
rahitetarA	rahitetarA
vA	vA
8	8
yaddetyupAyAntaradyotanArTam	yadvetyupAyAntaradyotanArTam
taccApetyatra	taccApetyatra
tacCabdena	tacCabdena
lambActrajyaM	lambAkzajye
uTe	ucyete
lambajyAyA	lambajyAyA
SracajyAyASva	akzajjAyASca
yaccApaM	yaccApaM
tena	tena
hInA	hInA
trayARAM	trayARAM
gwahARAM	gfhARAM
navatiBAgAnAM	navatiBAgAnAM
kramajyA	kramajyA
lambapalajyayormaDye	lambapalajyayormaDye
itarA	itarA
syAt	syAt
yaccApaM	yaccAyaM
tyajyate	tyajyate
tasyA	tasyA
itarA	itarA
jyA	jyA
rayAt	syAt
lambajyo	lambajyA
cAyokkatDa	cApIkftya
navatiBAgEByo	nevatiBAgeByo
viSoDya	viSoDya
Sizwasya	Sizwasya
kramajyA	kramajyA
3	3
SractrajyA	akzajyA
syAditi	syAditi
yAvat	yAvat
navatelEmbAcAMBAn	navaterlambAkzAMSAn
prIhya	prohya
jyA	jyA
vaMtarA$calambajye	vetarA$kzalamabajye
eNkacCAyAguRite	SaNkucCAyAguRite
kAyAddAdarBite	CAyAdvAdaSahfte
vA$nye	vA$nye
2	2
ityAdi	ityAdi
brahmaguptoktayanurupameva	brahmaguptoktyanurUpameva
savEmavatyaM	sarvamatratyaM
prakArAntaraM	prakArAntaraM
Opaterivi	SrIpateriti
1	1
tacAvahInaM	taccAvahInaM
iti	iti
2	2
lasbavatlajyaDI	lambabalajyayoH
dfti	iti
ca	ca
2	mU
DAgnu	pAWaH
3	3
atra	atra
SrA	aA
pustake	pastake
lambaja़eDA	lambajyA
syAditi	syaditi
dvfta	iti
vartate	varttate
tripraSnADyAyaH	tripraSnADyAyaH
223	223
Sratra	atra
yuktinavatirmerO	yuktiHnavatirmerO
kevalamacAMSA	kevalamakzAMSAH
Druvasyopari	Druvasyopari
sTitalvAddizuvalyakasya	sTitatvAdvivizuvatyarkasya
citijAsaktatvAca	kzitijAsaktatvAcca
lambakaBAva	lambakABAvaH
laNkAyAM	laNkAyAM
tu	tu
punarantABAvaH	punarakzABAvaH
Druvayo	DruvayoH
citijAsatAvAt	kzitijAsaktatvAt
avAntare	avAntare
tu	tu
lambAcayoryogo	lambAkzayoryogo
navatiBAgA	navatiBAgAH
tEna	tena
samamaRqalamaDyAiciIna	samamaRqalamaDyAddakziRina
yAgyottaramaRqalagatyA	yAmyottaramaRqalagatyA
syAditi	syAditi
yutAmetat	yuktametat
aTa	aTa
vA—citijasvastikaM	vAkzitijasvastikaM
navatirBAgAsteByaH	navatirBAgAsteByaH
yadA$cAMSA	yadA$kzAMSAH
SIDyante	SoDyante
tadA	tadA
lambAMSA	lambAMSAH
Szyinte	Sizyante
yadA	yadA
lambAMSAstadA$ctAMSA	lambAMSAstadA$kzAMSAH
Sizyante	Sizyante
tezAM	tezAM
yA	yA
jyA	jyA
sA	sA
tadIyEva	tadIyEva
jyA	jyA
syAditi	syAditi
yuptAmetat	yuktametat
aTa	aTa
vA	vA
anya	anya
upAyaHlambAMSAnAmutkramajyA	upAyaH^lambAMSAnAmutkramajyA
yA	yA
tayA	tayA
rahitA	rahitA
trijyA	trijyA
itarA$ctrajyA	itarA$kzajyA
Sra^cataBAgAnAmutkramajyAhInA	akzaBAgAnAmutkramajyAhInA
vijyaT$valambajyA	trijyA$valambajyA
syAdityatra	syAdityatra
yujYidakziRakzitijAdAgyottaramaRqale	yuktiHdakziRakzitijAdyAmyottaramaRqale
yAvanteMo	yAvanto
lambakoSA	lambakAMSA
upari	upari
sTitAYcAya^gatDA	sTitAScApagatvA
tezAM	tezAM
yA	yA
jyA	jyA
sA	sA
lambajyAM	lambajyA
tAMddiguRIkvatyactitijasUtrAdaDo	tAM^dviguRIkftya^kzitisUtrAdaDo
nItvA^yAmyottara	nItvAyAmyottara
eva	eva
maRqale	maRqale
tAvatyevAntare	tAvatyevAntare
baDnIyAt	baDnIyAt
sA	sA
jyAvadaDaH	jyAvadaDaH
sTitA	sTitA
syAt	syAt
tatpariCinnasya	tatparicCinnasya
DanurzI	DanuzI
yaH	yaH
SarastAvartI	SarastAvatI
lamboSItkramajyA	lambAMSotkramajyA
sA	sA
ca	ca
trijyAtI	trijyAto
yadA	yadA
SoDyata	SoDyate
tadA$ctrajyAtulyaM	tadA$kzajyAtulyaM
raKarAqa़	KaRqaM
SizTata	Sizyate
SraDa	aDaH
catatrasyopari	kzetrasyopari
cActajyA	cAkzajyA
tAvatyeva	tAvatyeva
taTA$cajyA$pi	taTA$kzajyA$pi
ddiguRIkvatA	dviguRIkftA
yadA	yadA
samamaRqalasyADo	samamaRqalasyADo
vinyasyate	vinyasyate
daciRottarAyatA	dakziRottarAyatA
yAmIttaramaRqale	yAmottaramaRqale
tadA	tadA
kowijyA	kowijyA
Bavati	Bavati
tatparicCinnasya	tatparicCinnasya
Danuzo	Danuzo
yaH	yaH
Sra	SaraH
sA$ctAMSItkramajyA	sA$kzAMSotkramajyA
tayInA	tayonA
trijyA	trijyA
yAvat	yAvata
kriyata	kriyate
tAvallambajyAtulyaM	tAvallambajyAtulyaM
raKaraRqamavaSizyate	KaRqamavaSizyate
samamaRqalamaDyaBUmaDyAvagAhinA	samamaRqalamaDyaBUmaDyAvagAhinA
sUtreRa	sUtreRa
tadyuktamutaM	tadyuktamuktaM
lambAcমাৰ্নীয়োরি	lambAkzaBAgetyAdi
৷ে	8
punarapyupAyAntaraM	punarapyapAyAntaraM
raToqatAdvaktenAha	raTodDatAvfttenAha
a1cvaBAvinihfitA$valambajA	a1kzaBAvinihatA$valambajA
SiYjinO2	SiYjinI2
ravihftA$caSiYjinI	ravihftA$kzaSiYjinI
syAtpalodBavaguRo$rka	syAtpalodBavaguRo$rka
12	12
tAqito	tAqito
BAjita3	BAjitaH3
palaBayA$valambajAS	palaBayA$valambajaH9
1	1
acArA	akzarA
2	2
ra^vacUtiM^cASi^fcanO	ravihftaMkzaSiYjinI
3	3
BAjitIvalaBaDAvalambajamti	BAjitovalaBayAvalambajam^iti
mU	mU
pAWa	pAWaH
S8	224
sidDAntaSeKaraM	sidDAntaSeKare
lambajyAM	lambajyA
vizuvacCAyayA	vizuvacCAyayA
hatvA	hatvA
dvAdaSaBiharet	dvAdaSaBiharet
PalamacajyA	PalamakzajyA
taTA$ctajdyAM	taTA$kzajyAM
dvAdaRaBiItvA	dvAdaSaBirhatvA
svadeSavizuvacCAyayA	svadeSavizuvacCAyayA
haret	haret
PalaM	PalaM
lambajyA	lambajyA
syAt	syAt
atra	atra
yuptiAKerASikasidDAyadi	yuktistrErASikasidDAyadi
vizuvacCAyAguRasya	vizuvacCAyAguRasya
dvAdaSikA	dvAdaSikA
kowistadactajyABujasya	kowistadakzajyABujasya
keti	keti
PalaM	PalaM
lambajyA	lambajyA
yadi	yadi
dvAdaRakorwa	dvAdaSakoweH
vizuvacCyA	vizuvacCAyA
BuYjA	BujA
labbajyAkIwaH	lambajyAkoweH
kA	kA
BujEti	Bujeti
Palamacajyeti	Palamakzajyeti
yuktametat	yuktametat
saNGacAriRorekasya	sahacAriRorekasya
jYAne$nyatarajYAnam	$nyatarajYAnam
8	9
punarapyUpAyaM	punarapyupAyaM
mandAkrAntAzWatenAcca	mandAkrAntAvfttenAha
cijyAvagIM	trijyAvargO
pfTagapahftA1vacakarRasya	pfTagapahftA1vakzakarRasya
kftyA	kftyA
SaNkucCAyAkftivinihatO2	SaNkucCAyAkftivinihatO2
labDayoyeM	labDayorye
pada	pade
te	te
lambAcAjye^3ciBaguRakkatestatkkarti	lambAkzajye3triBaguRakftestatkftiM
projJamna	projJya
SEzAt	SezAt
mUlaM	mUlaM
vA	vA
syAqnuzi	syAdDanuzi
vihfite	vihite
coBayorlambakAcO	coBayorlambakAkzO
10	10
trijTAvagoM	trijyAvargO
pfTak	pfTak
sTApayitvA	sTApayitvA
eka	ekaM
dvAdaSakavagaRa	dvAdaSakavargaRa
hatvA	hftvA
vizuvatkaRasya	vizuvatkarRasya
vargeRa	vargeRa
irat	haret
PalaM	PalaM
lagbajyAvarga	lambajyAvargaH
syAt	syAt
anyat	anyat
cijyAvarga	trijyAvargaM
vizuvacCAyAMvargeRa	vizuvacCAyAvargeRa
CUtvA	hftvA
vizuvatkarRasya	vizuvatkarRasya
4	4
CatyA	kftyA
iret	haret
PalaM	PalaM
SracajyAvargaH	akzajyAvargaH
syAt	syAt
tayorye	tayorye
mUle	mUle
teM	te
lambAcatajye	lambAkzajye
BavataH	BavataH
atra	atra
vAsanA	vAsanA
trerASkisidDA	trErASikasidDA
yadi	yadi
vizuvalkaRevargeRa	vizuvatkarRavargeRa
vizuvatkIwiBujAvargIM	vizuvatkowiBujAvargO
laByete	laByete
tadA	tadA
cijyAkarRavargAByAM	trijyAkarRavargAByAM
kAviti	kAviti
lambActrajyAvargAviti	lambAkzajyAvargAviti
punaranya	punaranya
upAya–trijyAvargAllambavarga	upAyatrijyAvargAllambavargaM
projJaya	projJya
SezAnmUlamacajyA	SezAnmUlamakzajyA
tasmAwevAtaqyAvarga	tasmadevAkzajyAvargaM
tyabrA	tyaktvA
Sizwasya	Sizwasya
mUlaM	mUlaM
lambajyA	lambajyA
yato5$cajyA	yato5$kzajyA
BujA	BujA
lambuTA	lambajyA
wi	kowiH
trijyA	trijyA
kaRe	karRaH
tadutpannaM	tadutpannaM
kaRekAta	karRakfteH
kIwikAtiM	kowikftiM
tyaktA	tyaktvA
SIzamUlam	SezamUlam
tayA	taTA
BujAvargaM	BujAvargaM
tyakA	tyaktvA
SIzamUlaM	SezamUlaM
kIwiriti	kowiriti
tayorlesbActjyayorDanuzI6	tayorlambAkzajyayorDanuzI6
vihfitaM	vihite
kte	kfte
laBbakAcO	lambakAkzO
BAgAtmakO	BAgAtmakO
BavataH	BavataH
SranayorvAsanAM	anayorvAsanAM
KadeSActAgrayogA~laM	svadeSAkzAgrayorgolaM
vinyasya	vinyasya
pradarSayet	pradarSayet
tadyaTAsamamaRqalAddaciRena	tadyaTAsamamaRqalAddakziRena
yAmyottaravizuvanmaRqala7	yAmyottaravizuvanmaRqala7
sampAtaM	sampAte
1	1
varkakarRasya	varkakarRasya
iti	iti
mU	mU
pAWa	pAWaH
2	2
labDarye	labDarye
iti	iti
mU	mU
pAWastaTA	pAWastaTA
lambayorye	lambayorye
iti	iti
TA	A
pAWa	pAWaH
3	3
lambAcajyAstriBiti	lambAkzajyAstriBa^iti
mU	mU
pAWaT	pAWaH
4	4
ityA	hftyA
5	5
yatI$cA	yato$kzA
muYjA	mujA
I	6
SraBihite	aBihite
7	7
sampAtasUca	sampAtasUtra
iti	iti
grA	aA
pastakaM	pustake
tripraSnADyAyaH	tripraSnADyAyaH
225	225
sUtrasyekamagraM	sUtrasyEkamagraM
baDvA	baDvA
samamaRqalAduttareRa	samamaRqalAduttareRa
tAvatyevAntareRa	tAvatyevAntareRa
tasminneva	tasminneva
yAmyottaramaRqale	yAmyottaramaRqale
dvitIyamayaM	dvitIyamagraM
baDnIyAt	baDnIyAt
tat	tat
jyAvadavatizWate	jyAvadavatizWate
tadarDa	tadarDaM
trijyAmamamaRqalamaDyaBUmaRqala	trijyAsamamaRqalamaDyaBUmaRqala
maDyAvagAhisUtrAvacCitrA$ctrajyA	maDyAvagAhisUtrAvacCinnA$kzajyA
tadagre	tadagre
lambaka	lambakaM
baDnIyAt	baDnIyAt
BUmaDyavinirgatadaciRottarAyatasUtraprApiRI	BUmaDyavinirgatadakziRottarAyatasUtraprApiRI
sA	sA
KadeSalambakajyA	svadeSalambakajyA
Ttatra	tatra
lambakaH	lambakaH
kowiracajyA	kowirakzajyA
BujA	BujA
taddargayogamUlaM	tadvargayogamUlaM
vyAsArDa	vyAsArDaM
kaREH	karRaH
evaM	evaM
sTite	sTite
karma	karma
iAdaSANgulaSNgO	dvAdaSANgulaSaNko
yojyate	yojyate
tadarDa	tadarDaM
trijyAvargAvityAdyajYam	trijyAvargAvityAdyuktam
evaM	evaM
vizuvati	vizuvati
yAmyottaramaRqalAvagAhinyarka	yAmyottaramaRqalAvagAhinyarke
lambActrajye	lambAkzajye
SrAnOte	AnIte
tayorlambajyA	tayorlambajyA
utratajyetyacyataM	unnatajyetyucyate
tadaMSA	tadaMSA
natAMSA	natAMSA
ubratAMSAkzetyucyante	unnatAMSAScetyucyante
te	te
ca	ca
dinADakAlikA	dinArDakAlikAH
tatra	tatra
cakrAnta	cakrAnte
BAvaH	BAvaH
yato	yato
vizuvatI	vizuvato
viprakzeO	viprakarzo
grahasya	grahasya
krAnti	krAntiH
evaM	evaM
vizuvati	vizuvati
zaqaBi	zaqBiH
prakArErlagbakActrajyayorAnayanamuka़m	prakArErlambakAkzajyayorAnayanamuktam
anyacArpozwakAle	anyatrApIzwakAle
yujyate	yujyate
dfNamaRqalasyekatvAtsarvasupapatraM	dfNmaRqalasyEkatvAtsarvamupapannaM
yaTAvasTitE	yaTA$vasTite
gole	gole
pradarSayaditi	pradarSayediti
10	10
idAnImacvakrAntyaMSAnAmanDInyezAM	idAnImakzakrAntyaMSAnAmanyonyezAM
saMskAraM	saMskAraM
vatuM	vaktuM
diNaniyamaM	diNniyamaM
SAlinIvfttenAhi	SAlinIvfttenAha
acAMSAnAM	akzAMSAnAM
sarvadA	sarvadA
daciRA	dakziRA
dik	dik
krAntyaSAnAM	krAntyaSAnAM
tigmaraSmeSva	tigmaraSmeSca
golAt	golAt
krAntyacAMSEkyAntarAccAvaDAryA	krAntyakzAMSEkyAntarAccAvaDAryA
yAmyA	yAmyA
sOmyA	sOmyA
diNnatAKyAMSakAnAm^11	diNnatAKyAMSakAnAm^11
laNGAta	laNkAta
uttarataH	uttarataH
sTitAnAM	sTitAnAM
janAnAM	janAnAM
sarvadA$ctrAMSAnAM	sarvadA$kzAMSAnAM
dig	dig
dacitraRA	dakziRA
1	1
dig	dig
jYeyA	jYeyA
SrapakramAMSAnAmarvagIla2vaSAd	apakramAMSAnAmarvagola2vaSAd
dig	dig
jYeyA	jYeyA
mezAdAvuttarA	mezAdAvuttarA
tulArdI	tulAdO
daciRA	dakziRA
BavatIti	BavatIti
yAvat	yAvat
natAKyAnAmaMSAnAM	natAKyAnAmaSAnAM
krAntyactAMSAnAM	krAntyakzAMSAnAM
yadanyonyamEkyamantaraM	yadanyonyamEkyamantaraM
vA	vA
tasmAt	tasmAt
yAmyA	yAmyA
sOmyA	sOmyA
ca	ca
digavaDAryA	digavaDAryA
Ekya	Ekye
yAmyeti	yAmyeti
sidDameva	sidDameva
antare	antare
tu	tu
ye$DikAstezAM	ye$DikAstezAM
diggrAhyA	diggrAhyA
atra	atra
yukliKadeSyAmyottaramaRqalagatyA	yuktiHsvadeSayAmyottaramaRqalagatyA
samamaRqalavizuvanmaRqalayorantare	samamaRqalavizuvanmaRqalayorantare
ye	ye
BAgAste	BAgAste
KActaBAgAsta	svAkzaBAgAste
cottaragIle	cottaragole
pratidinaMkrAntiBAgErapacIyanta	pratidinaM^krAntiBAgErapacIyante
SezA	SezA
1	1
daciRAdijYa^yA	dakziRAdijYeyA
2	2
vaSrAdarSayA	vaSAdarjYeyA
iti	iti
SrA	aA
pustake	pustake
226	226
sidDa^T^toraDure	sidDAntaSeKare
nataBAgA	nataBAgAH
yata	yataH
samamaRqalasya	samamaRqalasya
saMnikkazwo	saMnikfzwo
ravirBavati	ravirBavati
dachiRagIle	dakziRagole
cAchaBAgAH	cAkzaBAgAH
pratidinaM	pratidinaM
krAntiBAgErupacitA	krAntiBAgErupacitAH
santaH	santaH
nataBAgA	nataBAgA
Bavati	Bavanti
yataH	yataH
samaBaRqalAdvipraklazwI	samamaRqalAdviprakfzwo
ravirBavati	ravirBavati
taTottaragIle	taTottaragole
uttarata	uttarataH
krAntyaMSA	krAntyaMSA
yata	yataH
sasmaraqlAduttareRAkrtI	samamaRqalAduttareRArko
maDyANga	maDyAhnaM
karoti	karoti
dacitaRe	dakziRe
ca	ca
gole	gole
daciRI	dakziRo
yata	yataH
dacitraRena	dakziRena
samaBaRqalAgmaDyaTNga	samamRqalAnmaDyAhnaM
karoti	karoti
sarvamidaM	sarvamidaM
KadeSAcAgrayogA~le	svadeSAkzAgrayorgole
vinyasya	vinyasya
darSayediti	darSayediti
11	11
idAnIM	idAnI
vizuvaddina	vizuvaddina
uta	uktaM
natIvratajyAnayanaM	nutonnatajyAnayanaM
vizuvato$nyatrApypadfiSati	vizuvato$nyatrApyupadiSati
drutavilambitavattena	drutavilambitavfttena
vizuvadaNgi	vizuvadahni
yaTA1palalambayIrviracite	yaTA1palalasbayorviracite
Danuzi	Danuzi
dyudaladyutEH	dyudaladyateH
aBimate$ni2taddadapi	aBimate$hani2^tadvadapi
sPuwaM	sPuwaM
kuru	kuru
3lavAMSva	3lavAMSca
nateIJatisaMjYakAn	natonnatasaMjYakAn
12	12
yaTA	yaTA
vizuvadaNgi	vizuvadahni
dyudaladyuteH	dyudaladyuteH
maDyANgacCAyAyAH	maDyAhnacCAyAyAH
palalambayorDanuzi	palalambayorDanuzi
cApe	cApe
kvataM	kfte
ityanvayaH	ityanvayaH
yaTA	yaTA
vizuvaddinamaDyANgacCAyAkarRAByAM	vizuvaddinamaDyApracCAyAkarRAByAM
natIvratajye	natonnatajye
kvataM	kfte
labbAcajyAKye	lambAkzajyAKye
tadaMSAKa	tadaMSASca
kvatA	kftA
iti	iti
yAvat	yAvat
taddadaBimate$hanyapi	tadvadaBimate$hanyapi
natotrata4	natonnata4
saMNgAn	saMjYAn
lavAn	lavAn
BAgAn	BAgAn
sPuwaM	sPuwaM
yaTA	yaTA
Bavati	Bavati
taTA	taTA
kurvityarTe	kurvityarTaH
etaduktaM	etaduktaM
BavativizuvaddUinavadevABIzwadine$pi	BavativizuvaddinavadevABIzwadine$pi
maDyANgacCAyayA	maDyAhnacCAyayA
tatkarRena	tatkarRena
ca	ca
natIvratajye	natonnatajye
CAtvA	kftvA
taccApaBAgAYca	taccApaBAgASca
kAryA	kAryAH
taM	te
taddina5BavA	taddina5BavA
natAMSAstAvadBiraMgE	natAMSAstAvadBiraMSEH
samamaRqalamaDyANgato$rkastasmindine	samamaRqalamaDyAhnato$rkastasmindine
maDyANgaM	maDyAhnaM
karoti	karoti
ye	ye
cotratAMSAstAbaducCritaH	connatAMSAstAvaducCritaH
daciRacitijamaRqalAdyaTA	dakziRakzitijamaRqalAdyaTA
vizuvanmaDyANgacCAyAkarRAByAM	vizuvanmaDyAhnacCAyAkarRAByAM
natIvratajye	natonnatatajye
bahuDA	bahuDA
Cata	kfte
evamizwadinamaDyANgacCATAkarRAByAM	evamizwadinamaDyAhnacCAyAkarRAByAM
natIvratajye	natonnatajye
bahuDA	bahuDA
kAyeM	kArye
tatra	tatra
yIvratajyA	yonnatajyA
sA	sA
SaNkuH	SaNku
yA	yA
ca	ca
natajya	natajyA
sA	sA
dfgajyA	dfgjyA
ye	ye
tatra	tatra
nIcoccAMSAsta	nIcoccAMSAste
natIvratAMSA	natonnatAMSA
Bavanti	Bavanti
yaTAyIgamiti	yaTAyogamiti
12	12
1	1
yaTAvalalambayI	yaTAvalalambayoH
iti	iti
taTa	taTA
2	2
taddadavieka^WaM	tadvadavisPuwaM
iti	iti
yaTA3	taTA2
kurujavASca	kurulavASca
iti	iti
ca	ca
mU	mU
pAWa	pAWaH
4	3
natIvratasaMjYAt	natonnatasaMjYAt
lavAt	lavAt
BAgAt	BAgAt
iti	iti
taGA	taTA
taddinaBuvA	taddinaBuvA
iti	iti
ca	ca
SrA	Aha
pustake	pustake
tripraSnADyAyaM	tripraSnADyAyaH
227	227
aDunA	aDunA
KadeSAcAMSAnayanopAyaM	svadeSAkzAMSAnayanopAyaM
drutavilambitenAhra	drutavilambitenAha
udaginApamaBAgasamanvitA	udaginApamaBAgasamanvitA
natalavA1bUtaraca	natalavA1itaratra
viSezitA	viSezitAH
Kavizaye	svavizaye
hi	hi
Bavati	Bavanti
2palASakA	2palAMSakA
yadi	yadi
na	na
ciARamagra3minadyute	dakziRamagra3minadyuteH
13	13
udaguttaragole	udaguttaragole
inasya	inasya
dinamaDyasyasya	dinamaDyasTasya
4ya$pamaBAgA	4ye$pamaBAgAH
krAntyaSA	krAntyaMSAH
te	tEH
samanvitA	samanvitA
natAMSAsta	natAMSAste
Kavizaya	svavizaye
palAMSA	palAMSA
Bavanti	Bavanti
dUtaratra	itaratra
dacitaRagIle	dakziRagole
viSezitAH	viSezitAH
krAntyaSeriti	krAntyaMSEriti
SezaH	SezaH
etaduktaM	etaduktaM
BavatiizwadinamaDyAjYe	BavatiizwadinamaDyAhne
prAguktarItyArnOtI	prAguktarItyAnItA
GanatAMSAste	ye^natAMSAste
uttaragIle	uttaragole
krAntiBAgEryuktA	krAntiBAgEryuktAH
svadeSAcAMSA	svaderaSAkzAMSA
Bavanti	Bavanti
ciRgole	dakziRagole
natAMSA	natAMSAH
krAntyaSEviMSazitAH	krAntyaMSErviSezitAH
svadeSActAMSA	svadeSAkzAMSA
BavantIti	BavantIti
uttaragIle	uttaragole
yadA	yadA
dacitraRAgrA	dakziRAgrA
maDyacCAyA	maDyacCAyA
tadA	tadA
mezAdAvapi	mezAdAvapi
krAntinatAMSAnAmantarameva	krAntinatAMSAnAmantarameva
KAcAMSA	svAkzAMSA
ityarTaH	ityarTaH
SraTa	aTa
maDyacCAyA	maDyacCAyA
kAcidapi	kAcidapi
na	na
saMBavati	saMBavati
tadA	tadA
niractadaMSAduttareRa	nirakzadeSAduttareRa
navarta	navateH
KAcAMSAn	svAkzAMSAn
viSoDya	viSoDya
SezA	SezA
lambAMSA	lambAMSA
Bavanti	Bavanti
atra	atra
vAsanA	vAsanA
pUrvamuttaragIteM	pUrvamuttaragole
KAcAMSeBya	svAkzAMSeByaH
krAntiBAgA	krAntiBAgAH
goDitA	SoDitA
natAMS	natAMSAH
jAtAH	jAtAH
ata	ataH
punaste	punaste
yojitAH	yojitAH
KAcAMSA	svAkzASA
BavantItiM	BavantIti
yAmyagIle	yomyagole
cAcAMSI	cAkzAMSA
natiBAgErupacitAH	natiBAgErupacitAH
kvatA	kftAH
prata	ataH
nataBAgI^Byasta	nataBAgeByaste
viSoDyante	viSoDyante
yena	yena
ta	ta
evActAMSAH	evAkzAMSAH
Sizyante	Sizyante
yata	yataH
samamaRqalAduttareRAkI	samamaRqalAduttareRArko
maDyANgaM	maDyAhnaM
karoti	karoti
tetra	tatra
KAcBArgaByI$DikA	svAkzaBAgeByo$DikAH
krAntiBAgA	krAntiBAgA
uttarA	uttarA
Bavanti	Bavanti
na	na
tatra	tatra
dacviRArDe	dakziRArDe
dinABimuKI	dinABimuKI
kAyA	CAyA
Bavati	Bavati
yAvadBiSvAMSEraDikA	yAvadBiScarAMSEraDikA
krAnti5racitAMSAstAvantI	krAnti5rakzAMSAstAvanto
natAMSA	natAMSAH
kAntyagre^BTo	krAntyaMSeByo
viSoDyante	viSoDyante
yena	yena
KActAMSA	svAkzAMSA
Bavanti	Bavanti
sarvamidaM	sarvamidaM
KadeSAcAgrayogA~laM	svadeSAkzAgrayorgolaM
vinyasTa	vinyasya
darSayediti	darSayediti
13	13
1	1
lataraca	lataratra
2	2
valAMSakA	valAMSakA
3	3
mahadyate	mahadyute
iti	iti
mU	mU
pAWa	pAWaH
4	4
meM	ye
pawBAgA	padaBAgAH
5	5
racA	rakzA
tAvantI	tAvanto
iti	iti
prA	aA
pustake	pustake
228	228
sidDAntaSeKare	sidDAntaSeKare
aDunA	aDunA
rASyantacaradalAnayanapUrvakamizwacaradalAnayanArTa	rASyantacaradalAnayanapUrvakamizwacaradalAnayanArTaM
mAlinIdvaktenAhaM	mAlinIvfttenAha
ajavazamiTunAnAM	ajavfzamiTunAnAM
jyAddinajyAcitijyA	jyAdinajyAkzitijyAH
sahacaradalajOvA1SvAnayettaNGanurBi	sahacaradalajIvA1ScAnayettadDanurBiH
ciBirapi	triBirapi
caraKaRqEstEraDo$DI	caraKaRqEstEraDo$Do
viSuqa़eSvarAwlaKapi	viSudDE^Scaradalamapi
sADyaM	sADyaM
yAvadaMSeH	yAvadaMSEH
KarAme	KarAmEH
14	14
pUrvamajAdInAmante	pUrvamajAdInAmante
dIjyOstatastAByastatkrAntijyA	dorjyAstatastAByastatkrAntijyA
